presvote20post,birthyr,gender4,educ,race,urbancity,religpew,gunown,edloan,vvweight,inputstate,pid7,votereg,faminc_new
1,1992,1,6,1,2,11,3,2,4.4873258587,26,1,1,11
1,1957,1,3,1,3,1,3,2,0.6456337283,25,5,1,8
1,1978,2,5,1,1,11,3,2,0.8699040432,42,1,1,6
1,1991,3,6,1,3,10,3,1,1.0635350769,9,4,1,11
6,1991,1,6,1,1,11,3,2,0.559116282,24,4,1,9
2,1955,1,5,7,4,11,3,2,0.0852596666,33,4,1,7
1,1968,2,2,2,2,11,3,2,1.2026018018,13,2,1,1
1,1947,1,6,1,2,9,3,2,0.5744016947,48,2,1,11
1,1947,2,5,1,3,2,3,2,0.9342556909,42,1,1,3
1,1950,1,6,1,1,2,3,2,0.5660858906,37,2,1,4
1,1949,2,5,2,1,12,1,2,1.2777258718,22,1,1,2
1,1969,2,6,1,1,9,1,2,0.4920203641,45,1,1,12
1,1961,2,5,2,2,1,8,2,1.1067574714,13,4,1,11
2,1965,2,4,6,4,11,1,1,0.269794078,53,5,1,11
1,1974,1,6,1,3,9,1,1,0.7749261106,23,1,1,10
2,1988,2,6,3,2,1,8,2,1.1196555287,51,7,1,12
2,1978,2,4,1,4,1,3,2,1.7459505946,18,7,1,9
6,1998,1,3,1,2,9,2,2,NA,6,1,2,12
1,1981,2,3,2,1,1,3,2,1.5573663024,51,1,1,7
6,1961,2,3,3,2,11,3,2,0.1883764985,18,8,1,4
2,1985,1,6,1,1,2,3,2,0.8426041507,6,4,1,11
2,1957,1,2,1,4,11,3,2,0.6183039597,21,4,1,5
1,1968,1,5,1,2,9,1,2,0.8914364019,42,5,1,9
2,1986,2,6,1,1,5,3,2,2.1194241203,36,7,1,97
2,1948,1,5,1,2,1,3,2,1.5828825446,41,5,1,97
1,1977,1,5,1,2,11,3,2,0.2830811174,48,1,1,9
1,1981,2,6,2,2,10,3,1,1.4783576984,36,1,1,1
6,1964,2,3,2,3,1,3,1,NA,5,4,2,2
1,1973,1,6,1,2,9,3,2,1.1684157562,8,3,1,9
1,1968,1,5,1,1,5,3,2,0.8914364019,42,3,1,6
2,1957,1,3,1,4,1,3,2,0.5955974256,12,7,1,10
1,1985,1,5,1,1,11,3,1,NA,53,1,1,8
1,1988,2,5,1,1,10,3,1,1.0761086961,6,1,1,10
6,1939,1,4,1,2,1,3,2,NA,53,2,2,6
1,1956,1,1,1,1,11,3,2,1.0917317725,6,1,1,16
2,1989,2,2,1,1,5,3,2,0.7775615238,53,1,1,4
6,1982,2,1,1,3,11,3,2,0.4286178859,36,7,2,2
5,1983,2,3,1,4,10,1,2,0.0182980155,37,5,1,7
6,1990,2,2,1,4,12,3,2,NA,46,7,1,7
2,1970,2,4,1,4,1,3,2,1.0199889292,36,7,1,6
1,1959,2,5,1,4,11,3,2,0.6334537961,26,1,1,10
1,1972,2,2,1,2,1,3,2,0.5329183293,47,4,1,2
6,1978,2,2,1,1,1,2,2,0.7804580422,47,6,1,7
1,1969,1,5,1,3,9,1,2,0.6157390516,31,1,1,7
1,1967,1,5,5,2,1,3,2,0.7109419341,4,3,1,14
2,1959,2,2,1,4,1,3,2,1.5360994303,13,7,1,4
1,1989,2,4,3,1,11,3,2,0.7150541202,48,3,1,2
2,1968,2,4,1,3,3,3,2,0.8159702271,49,6,1,7
2,1972,2,5,3,3,1,3,2,0.4024801612,5,4,1,12
2,1943,1,3,6,4,1,1,2,0.2679855342,8,5,1,6
2,1953,1,3,1,4,12,2,2,0.9868492801,21,5,1,9
2,1961,1,3,1,4,12,8,2,0.8334036211,4,6,1,4
2,1950,1,4,1,3,2,3,2,0.5955974256,12,7,1,10
5,1978,2,5,1,3,2,3,2,0.7798445472,42,4,1,5
2,1943,1,3,1,2,1,3,2,0.7108301192,48,5,1,3
1,1986,2,2,1,4,12,3,2,0.3829044894,39,1,1,4
6,1989,2,4,1,2,10,3,2,NA,47,3,1,1
1,1998,2,5,1,2,5,3,1,1.4191627508,24,2,1,97
1,1970,2,6,1,4,5,2,2,0.6372515927,37,3,1,97
1,1990,2,5,2,2,1,3,1,0.3705072181,47,2,1,6
2,1968,2,3,1,1,2,2,2,NA,48,7,1,7
6,1957,2,2,2,2,12,3,2,0.5262675088,22,2,1,6
2,1998,2,4,1,2,2,2,2,1.6314295865,26,5,1,8
6,1989,2,4,3,1,2,8,2,NA,31,8,2,3
2,1949,1,5,1,3,1,1,2,0.7167938532,20,6,1,97
1,1987,2,3,1,2,10,1,1,0.7275208822,24,2,1,9
6,1997,2,3,5,4,12,3,1,NA,13,4,2,3
1,1951,2,2,2,4,1,NA,NA,1.0949904239,45,1,1,1
1,1968,2,5,1,4,10,2,2,0.509951407,27,2,1,10
2,1933,2,2,1,3,3,3,2,NA,49,5,1,3
2,1964,2,2,1,4,1,2,2,0.9386912593,55,7,1,5
1,1988,3,2,6,2,9,3,2,1.1356022773,48,1,1,97
1,1963,2,6,1,3,11,3,2,0.8396162487,9,1,1,9
6,1982,2,6,4,2,8,3,2,2.9493903257,24,1,1,9
2,1952,2,3,1,3,1,1,2,1.0989911595,6,7,1,6
1,1947,2,3,2,1,1,3,2,0.5440642122,48,1,1,97
2,1987,2,4,1,3,1,1,2,0.6456136859,54,6,1,10
3,1989,2,3,1,4,1,1,2,0.5466376877,30,3,1,10
2,1974,1,3,1,4,11,1,2,NA,40,7,1,5
1,1976,2,4,1,3,9,3,1,0.621396818,16,3,1,5
1,1960,1,4,1,3,11,1,2,0.4574416739,19,3,1,5
2,1965,2,6,1,2,1,3,1,1.4834688335,6,7,1,11
6,1997,1,5,3,2,9,3,1,NA,17,3,1,3
1,1950,2,2,1,3,11,2,2,0.8089769817,18,1,1,5
2,1976,1,4,1,3,10,3,2,0.75046716,37,4,1,2
2,1961,1,4,1,4,1,8,2,0.9614344911,37,7,1,97
2,1958,1,2,1,4,1,8,2,1.7850914615,41,7,1,11
1,1967,1,4,1,3,9,1,2,0.4399219953,36,7,1,7
1,1951,2,4,3,2,7,3,2,0.3321678523,12,1,1,2
1,1949,1,4,1,2,10,1,2,0.4560991905,37,4,1,3
2,1967,1,4,7,2,1,1,2,0.1865240261,48,7,1,7
1,1955,2,3,6,3,11,3,2,0.0825808086,5,3,1,3
1,1968,2,5,1,2,12,1,1,0.3505132567,45,3,1,11
1,1967,1,3,1,2,10,3,2,0.5994132553,6,3,1,2
1,1987,2,5,1,2,11,3,2,0.5017793648,12,3,1,7
5,1999,1,2,6,2,11,NA,NA,NA,8,3,2,6
2,1990,1,1,1,1,12,3,2,1.4117285817,25,5,1,2
1,1993,2,6,1,2,1,3,1,0.8283379608,37,1,1,7
1,1980,1,4,1,2,12,1,1,0.7527476541,26,3,1,13
6,1983,2,1,1,3,11,3,2,1.4070482598,25,4,2,7
1,1969,1,5,1,1,12,3,2,0.4717916547,26,4,1,5
1,1948,2,2,1,3,2,3,2,0.8528305624,6,1,1,97
2,1969,2,5,1,2,1,2,2,1.2453761334,18,7,1,11
1,1957,2,3,1,2,10,2,2,0.8987240118,8,2,1,12
1,1939,2,2,1,1,2,3,2,0.5510454312,48,1,1,9
1,1958,1,3,1,1,2,3,2,0.6876654107,4,1,1,6
2,1964,2,3,1,2,2,1,2,1.1020796027,34,7,1,7
