age,age_cohort,vote_choice,race,income_tier,urbanicity,region,education,gender,religion,state,pid7
66,"(64,90]",democrat,White,Upper income,Urban,West,No High School,Male,Nothing in particular,Colorado,1
71,"(64,90]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Protestant,Utah,1
58,"(49,64]",democrat,Black,Lower income,Urban,South,Some College,Female,Something else,Georgia,1
40,"(29,49]",democrat,White,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Virginia,1
43,"(29,49]",republican,Middle Eastern,Upper income,Rural,South,4-year College Degree,Male,Something else,Virginia,4
60,"(49,64]",democrat,Hispanic,Lower income,Urban,Midwest,No High School,Female,Nothing in particular,Ohio,1
87,"(64,90]",republican,White,Lower income,Rural,West,High School Graduate,Female,Protestant,Hawaii,7
47,"(29,49]",democrat,White,Upper income,Urban,West,4-year College Degree,Male,Nothing in particular,Washington,4
38,"(29,49]",democrat,Black,Lower income,Urban,Midwest,Some College,Male,Protestant,Minnesota,1
49,"(29,49]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Nothing in particular,South Dakota,4
69,"(64,90]",democrat,Black,Lower income,Urban,South,Some College,Male,Protestant,Georgia,2
25,"(18,29]",democrat,Black,Lower income,Urban,West,4-year College Degree,Male,Roman Catholic,Washington,2
54,"(49,64]",democrat,White,Lower income,Urban,West,4-year College Degree,Male,Agnostic,Nevada,1
21,"(18,29]",republican,White,Lower income,Urban,Northeast,Some College,Male,Protestant,Maine,7
57,"(49,64]",democrat,Hispanic,Lower income,Urban,Midwest,High School Graduate,Female,Roman Catholic,Missouri,2
54,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,South Dakota,1
56,"(49,64]",democrat,White,Lower income,Rural,South,Some College,Female,Nothing in particular,Alabama,1
79,"(64,90]",democrat,White,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,South Dakota,6
50,"(49,64]",democrat,White,Lower income,Urban,South,Postgraduate Degree,Male,Roman Catholic,Arkansas,2
57,"(49,64]",republican,Other,Lower income,Urban,West,2-year College Degree,Male,Something else,Colorado,7
34,"(29,49]",democrat,White,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Washington,2
30,"(29,49]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,California,1
63,"(49,64]",democrat,White,Lower income,Urban,South,High School Graduate,Male,Roman Catholic,Virginia,1
33,"(29,49]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Male,Agnostic,Ohio,1
57,"(49,64]",democrat,Black,Lower income,Rural,Northeast,Some College,Female,Something else,Pennsylvania,2
75,"(64,90]",democrat,Black,Lower income,Urban,South,Some College,Female,Protestant,Kentucky,1
47,"(29,49]",republican,White,Lower income,Urban,West,Some College,Male,Roman Catholic,Washington,7
28,"(18,29]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Female,Protestant,Ohio,1
28,"(18,29]",republican,White,Upper income,Urban,Midwest,4-year College Degree,Female,Eastern or Greek Orthodox,Ohio,1
69,"(64,90]",democrat,Black,Lower income,Rural,Midwest,4-year College Degree,Female,Protestant,Nebraska,1
45,"(29,49]",republican,Black,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Missouri,5
57,"(49,64]",democrat,White,Lower income,Urban,South,Some College,Male,Roman Catholic,Arkansas,1
66,"(64,90]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Male,Jewish,Ohio,2
40,"(29,49]",democrat,White,Lower income,Urban,West,High School Graduate,Male,Atheist,Washington,3
31,"(29,49]",republican,White,Upper income,Urban,West,Postgraduate Degree,Male,Roman Catholic,Hawaii,7
81,"(64,90]",republican,White,Lower income,Rural,West,Some College,Male,Protestant,California,5
81,"(64,90]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Male,Jewish,Ohio,3
54,"(49,64]",democrat,Black,Lower income,Urban,West,Some College,Female,Nothing in particular,Idaho,1
38,"(29,49]",democrat,Black,Lower income,Urban,West,No High School,Female,Protestant,Idaho,3
37,"(29,49]",republican,Native American,Lower income,Urban,South,Some College,Male,Nothing in particular,Kentucky,4
63,"(49,64]",democrat,Black,Lower income,Rural,West,2-year College Degree,Female,Protestant,Idaho,1
61,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Something else,Hawaii,2
60,"(49,64]",republican,Black,Lower income,Urban,West,2-year College Degree,Male,Roman Catholic,Hawaii,4
38,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Idaho,3
29,"(18,29]",democrat,Black,Lower income,Rural,Midwest,Some College,Female,Roman Catholic,Nebraska,1
58,"(49,64]",democrat,Hispanic,Lower income,Urban,Midwest,High School Graduate,Female,Roman Catholic,Ohio,1
55,"(49,64]",democrat,Black,Lower income,Rural,Midwest,Some College,Male,Roman Catholic,Missouri,7
