presvote20post,birthyr,gender4,educ,race,urbancity,religpew,gunown,edloan,vote_choice,age,gender,education,race_group,location
1,1992,1,6,1,2,11,3,2,democrat,30,male,postgraduate,white,suburban
1,1957,1,3,1,3,1,3,2,democrat,65,male,some college,white,rural
1,1978,2,5,1,1,11,3,2,democrat,44,female,college graduate,white,urban
1,1991,3,6,1,3,10,3,1,democrat,31,non-binary,postgraduate,white,rural
6,1991,1,6,1,1,11,3,2,other,31,male,postgraduate,white,urban
2,1955,1,5,7,4,11,3,2,republican,67,male,college graduate,other,other
1,1968,2,2,2,2,11,3,2,democrat,54,female,high school or less,black,suburban
1,1947,1,6,1,2,9,3,2,democrat,75,male,postgraduate,white,suburban
1,1947,2,5,1,3,2,3,2,democrat,75,female,college graduate,white,rural
1,1950,1,6,1,1,2,3,2,democrat,72,male,postgraduate,white,urban
1,1949,2,5,2,1,12,1,2,democrat,73,female,college graduate,black,urban
1,1969,2,6,1,1,9,1,2,democrat,53,female,postgraduate,white,urban
1,1961,2,5,2,2,1,8,2,democrat,61,female,college graduate,black,suburban
2,1965,2,4,6,4,11,1,1,republican,57,female,some college,other,other
1,1974,1,6,1,3,9,1,1,democrat,48,male,postgraduate,white,rural
2,1988,2,6,3,2,1,8,2,republican,34,female,postgraduate,hispanic,suburban
2,1978,2,4,1,4,1,3,2,republican,44,female,some college,white,other
6,1998,1,3,1,2,9,2,2,other,24,male,some college,white,suburban
1,1981,2,3,2,1,1,3,2,democrat,41,female,some college,black,urban
6,1961,2,3,3,2,11,3,2,other,61,female,some college,hispanic,suburban
2,1985,1,6,1,1,2,3,2,republican,37,male,postgraduate,white,urban
2,1957,1,2,1,4,11,3,2,republican,65,male,high school or less,white,other
1,1968,1,5,1,2,9,1,2,democrat,54,male,college graduate,white,suburban
2,1986,2,6,1,1,5,3,2,republican,36,female,postgraduate,white,urban
2,1948,1,5,1,2,1,3,2,republican,74,male,college graduate,white,suburban
1,1977,1,5,1,2,11,3,2,democrat,45,male,college graduate,white,suburban
1,1981,2,6,2,2,10,3,1,democrat,41,female,postgraduate,black,suburban
6,1964,2,3,2,3,1,3,1,other,58,female,some college,black,rural
1,1973,1,6,1,2,9,3,2,democrat,49,male,postgraduate,white,suburban
1,1968,1,5,1,1,5,3,2,democrat,54,male,college graduate,white,urban
2,1957,1,3,1,4,1,3,2,republican,65,male,some college,white,other
1,1985,1,5,1,1,11,3,1,democrat,37,male,college graduate,white,urban
1,1988,2,5,1,1,10,3,1,democrat,34,female,college graduate,white,urban
6,1939,1,4,1,2,1,3,2,other,83,male,some college,white,suburban
1,1956,1,1,1,1,11,3,2,democrat,66,male,high school or less,white,urban
2,1989,2,2,1,1,5,3,2,republican,33,female,high school or less,white,urban
6,1982,2,1,1,3,11,3,2,other,40,female,high school or less,white,rural
5,1983,2,3,1,4,10,1,2,did not vote,39,female,some college,white,other
6,1990,2,2,1,4,12,3,2,other,32,female,high school or less,white,other
2,1970,2,4,1,4,1,3,2,republican,52,female,some college,white,other
1,1959,2,5,1,4,11,3,2,democrat,63,female,college graduate,white,other
1,1972,2,2,1,2,1,3,2,democrat,50,female,high school or less,white,suburban
6,1978,2,2,1,1,1,2,2,other,44,female,high school or less,white,urban
1,1969,1,5,1,3,9,1,2,democrat,53,male,college graduate,white,rural
1,1967,1,5,5,2,1,3,2,democrat,55,male,college graduate,other,suburban
2,1959,2,2,1,4,1,3,2,republican,63,female,high school or less,white,other
1,1989,2,4,3,1,11,3,2,democrat,33,female,some college,hispanic,urban
2,1968,2,4,1,3,3,3,2,republican,54,female,some college,white,rural
2,1972,2,5,3,3,1,3,2,republican,50,female,college graduate,hispanic,rural
2,1943,1,3,6,4,1,1,2,republican,79,male,some college,other,other
